day,hour,P_total,Q_total,P_PV_max
1,0,6.389,2.245,0.0
1,1,5.913,2.12,0.0
1,2,6.052,2.016,0.0
1,3,6.151,2.166,0.0
1,4,6.081,2.087,0.0
1,5,5.932,2.012,0.0
1,6,5.627,1.948,0.0
1,7,5.967,2.007,0.0
1,8,5.979,2.07,0.0
1,9,5.443,1.829,0.0
1,10,6.338,2.228,3.396
1,11,6.02,2.06,7.576
1,12,6.07,2.097,10.788
1,13,7.074,2.477,12.0
1,14,7.399,2.611,10.788
1,15,7.783,2.725,7.576
1,16,8.752,3.013,3.396
1,17,9.663,3.323,0.0
1,18,9.068,3.204,0.0
1,19,9.586,3.334,0.0
1,20,10.186,3.59,0.0
1,21,9.827,3.424,0.0
1,22,8.886,3.054,0.0
1,23,8.06,2.748,0.0
2,0,6.252,2.217,0.0
2,1,6.388,2.291,0.0
2,2,6.202,2.161,0.0
2,3,6.276,2.168,0.0
2,4,6.135,2.036,0.0
2,5,5.652,1.979,0.0
2,6,5.768,2.098,0.0
2,7,6.471,2.313,0.0
2,8,6.362,2.264,0.0
2,9,6.179,2.105,0.0
2,10,5.869,2.03,3.396
2,11,6.272,2.251,7.576
2,12,6.453,2.266,10.788
2,13,6.36,2.2,12.0
2,14,7.56,2.77,10.788
2,15,8.009,2.803,7.576
2,16,8.739,3.109,3.396
2,17,9.528,3.353,0.0
2,18,9.451,3.288,0.0
2,19,9.684,3.487,0.0
2,20,9.601,3.34,0.0
2,21,9.023,3.143,0.0
2,22,8.252,2.837,0.0
2,23,7.889,2.63,0.0
3,0,6.631,2.428,0.0
3,1,5.613,1.983,0.0
3,2,6.702,2.357,0.0
3,3,6.126,2.175,0.0
3,4,5.781,1.947,0.0
3,5,6.184,2.191,0.0
3,6,5.591,1.938,0.0
3,7,6.211,2.283,0.0
3,8,5.384,1.931,0.0
3,9,6.365,2.209,0.0
3,10,6.283,2.194,3.396
3,11,6.301,2.267,7.576
3,12,6.946,2.466,10.788
3,13,7.033,2.396,12.0
3,14,6.942,2.365,10.788
3,15,8.456,2.981,7.576
3,16,8.295,2.928,3.396
3,17,9.105,3.226,0.0
3,18,9.286,3.362,0.0
3,19,10.389,3.583,0.0
3,20,10.205,3.584,0.0
3,21,9.438,3.33,0.0
3,22,9.036,3.194,0.0
3,23,8.192,2.94,0.0
4,0,5.769,1.965,0.0
4,1,6.161,2.201,0.0
4,2,6.791,2.404,0.0
4,3,6.011,2.123,0.0
4,4,5.561,1.886,0.0
4,5,5.891,2.043,0.0
4,6,5.93,2.059,0.0
4,7,5.796,1.991,0.0
4,8,5.841,1.958,0.0
4,9,5.897,2.015,0.0
4,10,5.941,2.082,3.396
4,11,6.1,2.052,7.576
4,12,6.289,2.28,10.788
4,13,6.811,2.457,12.0
4,14,7.688,2.739,10.788
4,15,7.774,2.69,7.576
4,16,8.81,3.056,3.396
4,17,9.097,3.317,0.0
4,18,10.206,3.598,0.0
4,19,10.114,3.513,0.0
4,20,9.574,3.39,0.0
4,21,9.556,3.256,0.0
4,22,9.229,3.239,0.0
4,23,8.99,3.128,0.0
5,0,6.166,2.174,0.0
5,1,5.784,2.051,0.0
5,2,6.132,2.148,0.0
5,3,6.239,2.123,0.0
5,4,6.153,2.177,0.0
5,5,5.363,1.88,0.0
5,6,5.846,2.003,0.0
5,7,5.478,1.883,0.0
5,8,5.849,1.952,0.0
5,9,6.16,2.17,0.0
5,10,6.321,2.209,3.396
5,11,6.141,2.235,7.576
5,12,7.029,2.478,10.788
5,13,7.151,2.449,12.0
5,14,7.782,2.813,10.788
5,15,8.332,2.953,7.576
5,16,8.406,3.023,3.396
5,17,9.122,3.215,0.0
5,18,10.226,3.55,0.0
5,19,9.929,3.467,0.0
5,20,9.818,3.454,0.0
5,21,10.157,3.627,0.0
5,22,8.772,3.082,0.0
5,23,8.511,2.994,0.0
6,0,5.261,1.859,0.0
6,1,6.081,2.082,0.0
6,2,5.952,1.983,0.0
6,3,5.951,2.154,0.0
6,4,5.981,2.128,0.0
6,5,5.858,1.957,0.0
6,6,5.62,2.033,0.0
6,7,5.235,1.866,0.0
6,8,6.253,2.221,0.0
6,9,6.311,2.259,0.0
6,10,6.079,2.057,3.396
6,11,6.538,2.178,7.576
6,12,6.925,2.414,10.788
6,13,6.581,2.332,12.0
6,14,7.605,2.617,10.788
6,15,8.313,2.855,7.576
6,16,8.975,3.13,3.396
6,17,9.578,3.421,0.0
6,18,9.536,3.461,0.0
6,19,10.626,3.712,0.0
6,20,9.77,3.459,0.0
6,21,9.521,3.406,0.0
6,22,9.11,3.193,0.0
6,23,8.841,3.066,0.0
7,0,6.051,2.052,0.0
7,1,5.867,2.03,0.0
7,2,6.409,2.256,0.0
7,3,6.008,2.125,0.0
7,4,6.233,2.176,0.0
7,5,5.632,2.036,0.0
7,6,5.969,2.147,0.0
7,7,6.24,2.239,0.0
7,8,6.61,2.331,0.0
7,9,5.847,2.005,0.0
7,10,5.965,2.112,3.396
7,11,5.943,2.105,7.576
7,12,6.207,2.186,10.788
7,13,7.202,2.529,12.0
7,14,8.155,2.794,10.788
7,15,8.232,2.927,7.576
7,16,9.099,3.138,3.396
7,17,9.593,3.371,0.0
7,18,9.588,3.345,0.0
7,19,9.898,3.423,0.0
7,20,10.279,3.558,0.0
7,21,8.864,3.086,0.0
7,22,9.152,3.115,0.0
7,23,7.828,2.681,0.0
8,0,5.896,2.101,0.0
8,1,5.908,2.049,0.0
8,2,6.25,2.203,0.0
8,3,6.147,2.208,0.0
8,4,5.527,1.958,0.0
8,5,6.574,2.331,0.0
8,6,6.272,2.235,0.0
8,7,5.697,1.961,0.0
8,8,6.262,2.153,0.0
8,9,5.852,1.981,0.0
8,10,6.693,2.305,3.396
8,11,6.39,2.344,7.576
8,12,6.52,2.273,10.788
8,13,6.88,2.368,12.0
8,14,7.588,2.577,10.788
8,15,7.934,2.822,7.576
8,16,8.869,3.11,3.396
8,17,9.404,3.302,0.0
8,18,9.409,3.201,0.0
8,19,10.408,3.655,0.0
8,20,9.865,3.554,0.0
8,21,9.187,3.275,0.0
8,22,9.174,3.16,0.0
8,23,7.981,2.873,0.0
9,0,5.806,2.07,0.0
9,1,5.965,2.102,0.0
9,2,5.78,2.058,0.0
9,3,6.011,2.169,0.0
9,4,5.688,1.926,0.0
9,5,6.055,2.064,0.0
9,6,5.514,1.986,0.0
9,7,5.731,2.035,0.0
9,8,6.26,2.192,0.0
9,9,6.218,2.189,0.0
9,10,5.986,2.126,3.396
9,11,6.032,2.171,7.576
9,12,6.79,2.427,10.788
9,13,7.442,2.568,12.0
9,14,7.582,2.57,10.788
9,15,7.717,2.588,7.576
9,16,8.642,3.047,3.396
9,17,9.813,3.468,0.0
9,18,9.199,3.231,0.0
9,19,10.086,3.567,0.0
9,20,9.73,3.412,0.0
9,21,9.551,3.394,0.0
9,22,8.582,2.943,0.0
9,23,7.938,2.752,0.0
10,0,6.342,2.195,0.0
10,1,6.269,2.059,0.0
10,2,6.086,2.115,0.0
10,3,5.681,1.979,0.0
10,4,5.892,2.06,0.0
10,5,5.971,2.182,0.0
10,6,6.196,2.15,0.0
10,7,6.218,2.252,0.0
10,8,5.951,2.112,0.0
10,9,6.452,2.291,0.0
10,10,5.951,2.157,3.396
10,11,6.135,2.04,7.576
10,12,6.418,2.191,10.788
10,13,7.178,2.524,12.0
10,14,7.419,2.581,10.788
10,15,7.947,2.782,7.576
10,16,8.886,3.106,3.396
10,17,9.467,3.238,0.0
10,18,9.434,3.339,0.0
10,19,9.334,3.317,0.0
10,20,9.742,3.488,0.0
10,21,9.432,3.35,0.0
10,22,8.851,3.039,0.0
10,23,8.293,2.913,0.0
11,0,5.524,1.923,0.0
11,1,6.138,2.179,0.0
11,2,6.112,2.194,0.0
11,3,6.411,2.264,0.0
11,4,6.184,2.229,0.0
11,5,5.577,1.919,0.0
11,6,5.956,2.111,0.0
11,7,6.148,2.189,0.0
11,8,6.249,2.202,0.0
11,9,4.86,1.683,0.0
11,10,5.985,2.163,3.396
11,11,6.564,2.257,7.576
11,12,6.933,2.452,10.788
11,13,7.365,2.529,12.0
11,14,7.641,2.588,10.788
11,15,8.113,2.821,7.576
11,16,8.741,2.997,3.396
11,17,9.276,3.25,0.0
11,18,9.702,3.468,0.0
11,19,9.676,3.413,0.0
11,20,10.119,3.36,0.0
11,21,9.1,3.201,0.0
11,22,8.844,3.059,0.0
11,23,7.955,2.764,0.0
12,0,6.227,2.103,0.0
12,1,5.887,1.985,0.0
12,2,6.231,2.127,0.0
12,3,6.278,2.227,0.0
12,4,6.521,2.227,0.0
12,5,6.205,2.139,0.0
12,6,5.655,1.911,0.0
12,7,5.824,2.032,0.0
12,8,6.144,2.096,0.0
12,9,6.39,2.129,0.0
12,10,6.024,2.132,3.396
12,11,5.739,2.082,7.576
12,12,6.203,2.163,10.788
12,13,6.988,2.446,12.0
12,14,7.455,2.701,10.788
12,15,8.001,2.757,7.576
12,16,8.651,3.046,3.396
12,17,9.399,3.228,0.0
12,18,9.678,3.306,0.0
12,19,10.097,3.568,0.0
12,20,9.712,3.395,0.0
12,21,9.57,3.379,0.0
12,22,8.971,3.121,0.0
12,23,7.785,2.822,0.0
13,0,6.608,2.352,0.0
13,1,5.365,1.845,0.0
13,2,6.739,2.404,0.0
13,3,5.914,2.025,0.0
13,4,5.982,2.067,0.0
13,5,5.652,1.886,0.0
13,6,5.921,2.099,0.0
13,7,6.467,2.348,0.0
13,8,6.133,2.193,0.0
13,9,6.498,2.203,0.0
13,10,6.246,2.264,3.396
13,11,6.147,2.168,7.576
13,12,6.984,2.417,10.788
13,13,7.128,2.516,12.0
13,14,7.898,2.727,10.788
13,15,8.0,2.805,7.576
13,16,8.861,3.183,3.396
13,17,9.098,3.28,0.0
13,18,9.627,3.384,0.0
13,19,9.665,3.331,0.0
13,20,9.973,3.533,0.0
13,21,9.304,3.167,0.0
13,22,8.921,3.061,0.0
13,23,7.83,2.803,0.0
14,0,5.599,1.928,0.0
14,1,6.234,2.195,0.0
14,2,6.626,2.202,0.0
14,3,5.809,1.984,0.0
14,4,6.464,2.283,0.0
14,5,6.215,2.181,0.0
14,6,5.853,2.121,0.0
14,7,5.993,2.169,0.0
14,8,5.852,2.078,0.0
14,9,6.489,2.26,0.0
14,10,5.906,2.043,3.396
14,11,6.516,2.167,7.576
14,12,6.359,2.229,10.788
14,13,7.044,2.42,12.0
14,14,7.512,2.611,10.788
14,15,8.45,2.984,7.576
14,16,8.208,2.874,3.396
14,17,9.653,3.321,0.0
14,18,9.652,3.408,0.0
14,19,9.6,3.186,0.0
14,20,9.951,3.413,0.0
14,21,9.565,3.345,0.0
14,22,8.953,3.112,0.0
14,23,7.958,2.813,0.0
15,0,6.377,2.173,0.0
15,1,5.978,2.09,0.0
15,2,5.893,2.042,0.0
15,3,6.043,2.066,0.0
15,4,6.03,2.141,0.0
15,5,5.764,1.988,0.0
15,6,5.787,2.102,0.0
15,7,5.965,2.053,0.0
15,8,5.751,2.004,0.0
15,9,6.213,2.164,0.0
15,10,5.597,1.977,3.396
15,11,6.114,2.219,7.576
15,12,7.197,2.452,10.788
15,13,6.928,2.389,12.0
15,14,7.809,2.772,10.788
15,15,8.029,2.785,7.576
15,16,8.69,2.995,3.396
15,17,9.535,3.431,0.0
15,18,9.843,3.54,0.0
15,19,10.21,3.586,0.0
15,20,9.857,3.472,0.0
15,21,9.081,3.231,0.0
15,22,8.669,3.089,0.0
15,23,8.105,2.754,0.0
16,0,5.824,2.033,0.0
16,1,5.655,1.984,0.0
16,2,6.365,2.252,0.0
16,3,5.542,2.056,0.0
16,4,5.422,2.004,0.0
16,5,5.803,1.964,0.0
16,6,5.629,1.969,0.0
16,7,5.835,2.055,0.0
16,8,6.2,2.162,0.0
16,9,6.612,2.263,0.0
16,10,5.625,1.913,3.396
16,11,5.956,2.035,7.576
16,12,6.558,2.255,10.788
16,13,6.668,2.311,12.0
16,14,7.655,2.693,10.788
16,15,8.138,2.849,7.576
16,16,9.08,3.225,3.396
16,17,9.283,3.314,0.0
16,18,9.582,3.281,0.0
16,19,9.433,3.263,0.0
16,20,10.179,3.604,0.0
16,21,8.611,2.997,0.0
16,22,8.955,3.137,0.0
16,23,7.498,2.658,0.0
17,0,6.391,2.267,0.0
17,1,5.787,2.05,0.0
17,2,6.053,2.032,0.0
17,3,5.79,2.085,0.0
17,4,5.648,1.897,0.0
17,5,6.115,2.12,0.0
17,6,6.016,2.179,0.0
17,7,5.878,2.054,0.0
17,8,6.783,2.428,0.0
17,9,5.901,2.047,0.0
17,10,6.382,2.278,3.396
17,11,6.315,2.196,7.576
17,12,6.446,2.248,10.788
17,13,7.124,2.531,12.0
17,14,7.406,2.618,10.788
17,15,7.522,2.626,7.576
17,16,8.773,3.042,3.396
17,17,9.366,3.261,0.0
17,18,9.742,3.443,0.0
17,19,10.522,3.697,0.0
17,20,10.369,3.621,0.0
17,21,9.349,3.272,0.0
17,22,8.811,3.097,0.0
17,23,8.443,2.971,0.0
18,0,5.343,1.818,0.0
18,1,5.84,2.065,0.0
18,2,5.434,1.879,0.0
18,3,6.233,2.23,0.0
18,4,6.534,2.186,0.0
18,5,6.126,2.166,0.0
18,6,5.982,2.041,0.0
18,7,6.278,2.181,0.0
18,8,5.706,1.959,0.0
18,9,6.532,2.296,0.0
18,10,6.553,2.336,3.396
18,11,6.374,2.253,7.576
18,12,6.982,2.478,10.788
18,13,6.683,2.265,12.0
18,14,8.053,2.78,10.788
18,15,8.069,2.806,7.576
18,16,8.267,2.884,3.396
18,17,9.788,3.429,0.0
18,18,10.146,3.681,0.0
18,19,9.597,3.211,0.0
18,20,10.216,3.56,0.0
18,21,9.59,3.282,0.0
18,22,8.736,3.05,0.0
18,23,8.006,2.762,0.0
19,0,5.764,2.056,0.0
19,1,5.728,1.949,0.0
19,2,6.335,2.211,0.0
19,3,6.536,2.296,0.0
19,4,5.476,1.858,0.0
19,5,5.826,2.006,0.0
19,6,5.826,2.022,0.0
19,7,6.144,2.156,0.0
19,8,6.026,2.095,0.0
19,9,6.477,2.21,0.0
19,10,5.746,2.048,3.396
19,11,6.197,2.167,7.576
19,12,6.842,2.416,10.788
19,13,6.803,2.297,12.0
19,14,7.04,2.478,10.788
19,15,8.058,2.835,7.576
19,16,8.684,3.089,3.396
19,17,9.755,3.456,0.0
19,18,9.978,3.505,0.0
19,19,10.198,3.566,0.0
19,20,9.788,3.369,0.0
19,21,10.075,3.466,0.0
19,22,9.365,3.247,0.0
19,23,7.994,2.876,0.0
20,0,5.958,2.03,0.0
20,1,5.937,2.167,0.0
20,2,6.095,2.17,0.0
20,3,6.085,2.222,0.0
20,4,5.985,2.064,0.0
20,5,6.208,2.178,0.0
20,6,5.983,2.068,0.0
20,7,5.998,1.963,0.0
20,8,6.128,2.161,0.0
20,9,6.345,2.228,0.0
20,10,6.11,2.148,3.396
20,11,6.465,2.262,7.576
20,12,6.482,2.18,10.788
20,13,7.054,2.436,12.0
20,14,7.877,2.744,10.788
20,15,8.037,2.773,7.576
20,16,8.851,3.145,3.396
20,17,10.08,3.487,0.0
20,18,9.53,3.338,0.0
20,19,10.163,3.611,0.0
20,20,9.805,3.377,0.0
20,21,9.614,3.372,0.0
20,22,8.94,3.149,0.0
20,23,8.56,2.99,0.0
21,0,5.655,1.956,0.0
21,1,6.25,2.138,0.0
21,2,6.34,2.15,0.0
21,3,6.204,2.177,0.0
21,4,6.047,2.134,0.0
21,5,6.11,2.15,0.0
21,6,6.179,2.287,0.0
21,7,5.271,1.853,0.0
21,8,6.094,2.122,0.0
21,9,6.232,2.185,0.0
21,10,5.987,2.091,3.396
21,11,6.394,2.189,7.576
21,12,6.63,2.266,10.788
21,13,6.617,2.27,12.0
21,14,7.759,2.699,10.788
21,15,7.738,2.695,7.576
21,16,8.964,3.109,3.396
21,17,9.282,3.344,0.0
21,18,9.649,3.338,0.0
21,19,9.892,3.46,0.0
21,20,9.959,3.498,0.0
21,21,8.742,3.035,0.0
21,22,8.676,2.966,0.0
21,23,8.159,2.846,0.0
22,0,6.06,2.149,0.0
22,1,6.164,2.094,0.0
22,2,6.218,2.148,0.0
22,3,5.981,2.048,0.0
22,4,5.994,1.935,0.0
22,5,5.451,1.881,0.0
22,6,5.917,2.138,0.0
22,7,6.073,2.12,0.0
22,8,6.153,2.06,0.0
22,9,5.367,1.812,0.0
22,10,5.851,1.935,3.396
22,11,6.943,2.484,7.576
22,12,6.732,2.37,10.788
22,13,7.317,2.545,12.0
22,14,7.108,2.425,10.788
22,15,8.451,3.027,7.576
22,16,9.159,3.232,3.396
22,17,9.385,3.229,0.0
22,18,10.005,3.542,0.0
22,19,9.503,3.311,0.0
22,20,9.678,3.357,0.0
22,21,9.522,3.308,0.0
22,22,8.907,3.154,0.0
22,23,8.311,2.895,0.0
23,0,6.384,2.255,0.0
23,1,5.928,2.062,0.0
23,2,6.404,2.214,0.0
23,3,6.223,2.19,0.0
23,4,5.394,1.982,0.0
23,5,6.607,2.286,0.0
23,6,5.935,2.076,0.0
23,7,6.196,2.193,0.0
23,8,6.499,2.282,0.0
23,9,6.344,2.233,0.0
23,10,6.208,2.195,3.396
23,11,6.055,2.106,7.576
23,12,6.247,2.206,10.788
23,13,7.334,2.584,12.0
23,14,7.214,2.523,10.788
23,15,8.217,2.88,7.576
23,16,8.549,2.903,3.396
23,17,9.234,3.256,0.0
23,18,9.933,3.346,0.0
23,19,10.183,3.628,0.0
23,20,10.303,3.662,0.0
23,21,9.493,3.387,0.0
23,22,8.341,2.902,0.0
23,23,7.841,2.701,0.0
24,0,6.029,2.164,0.0
24,1,6.418,2.341,0.0
24,2,6.195,2.217,0.0
24,3,6.266,2.176,0.0
24,4,5.869,2.101,0.0
24,5,6.071,2.089,0.0
24,6,5.707,2.058,0.0
24,7,5.996,2.105,0.0
24,8,5.909,2.028,0.0
24,9,5.509,1.919,0.0
24,10,6.185,2.201,3.396
24,11,6.003,2.091,7.576
24,12,6.437,2.224,10.788
24,13,7.024,2.514,12.0
24,14,7.538,2.624,10.788
24,15,8.612,3.074,7.576
24,16,8.767,3.184,3.396
24,17,9.552,3.369,0.0
24,18,9.452,3.195,0.0
24,19,10.419,3.554,0.0
24,20,9.364,3.306,0.0
24,21,9.236,3.281,0.0
24,22,8.865,3.176,0.0
24,23,7.438,2.625,0.0
25,0,6.074,2.07,0.0
25,1,5.864,2.051,0.0
25,2,6.031,2.135,0.0
25,3,5.756,2.105,0.0
25,4,5.772,2.036,0.0
25,5,5.697,2.024,0.0
25,6,5.889,2.104,0.0
25,7,6.094,2.167,0.0
25,8,5.873,2.043,0.0
25,9,6.316,2.237,0.0
25,10,5.821,1.993,3.396
25,11,5.759,2.035,7.576
25,12,6.836,2.427,10.788
25,13,7.2,2.479,12.0
25,14,7.563,2.644,10.788
25,15,8.072,2.895,7.576
25,16,9.062,3.132,3.396
25,17,9.401,3.298,0.0
25,18,9.571,3.341,0.0
25,19,10.133,3.586,0.0
25,20,10.126,3.452,0.0
25,21,9.985,3.503,0.0
25,22,8.719,2.987,0.0
25,23,8.215,2.943,0.0
26,0,5.83,1.981,0.0
26,1,6.094,2.202,0.0
26,2,6.158,2.125,0.0
26,3,5.848,2.093,0.0
26,4,5.727,1.908,0.0
26,5,6.201,2.105,0.0
26,6,6.324,2.174,0.0
26,7,5.908,2.109,0.0
26,8,5.99,2.161,0.0
26,9,5.806,2.033,0.0
26,10,5.995,2.057,3.396
26,11,6.561,2.31,7.576
26,12,6.522,2.327,10.788
26,13,7.179,2.533,12.0
26,14,7.735,2.729,10.788
26,15,8.851,3.104,7.576
26,16,9.045,3.276,3.396
26,17,9.182,3.195,0.0
26,18,9.452,3.301,0.0
26,19,10.201,3.508,0.0
26,20,10.081,3.475,0.0
26,21,9.877,3.431,0.0
26,22,8.573,3.099,0.0
26,23,7.522,2.636,0.0
27,0,6.745,2.454,0.0
27,1,6.59,2.269,0.0
27,2,5.565,1.904,0.0
27,3,6.381,2.219,0.0
27,4,5.784,1.996,0.0
27,5,6.137,2.197,0.0
27,6,5.685,1.901,0.0
27,7,6.376,2.294,0.0
27,8,5.912,2.09,0.0
27,9,6.52,2.355,0.0
27,10,6.291,2.136,3.396
27,11,6.735,2.349,7.576
27,12,6.491,2.233,10.788
27,13,7.301,2.576,12.0
27,14,7.917,2.829,10.788
27,15,8.079,2.837,7.576
27,16,8.117,2.848,3.396
27,17,9.804,3.502,0.0
27,18,10.199,3.636,0.0
27,19,9.71,3.32,0.0
27,20,9.096,3.112,0.0
27,21,8.746,3.023,0.0
27,22,8.936,3.194,0.0
27,23,8.114,2.842,0.0
28,0,6.015,2.174,0.0
28,1,5.577,1.898,0.0
28,2,5.887,1.974,0.0
28,3,5.874,2.046,0.0
28,4,6.671,2.427,0.0
28,5,6.094,2.024,0.0
28,6,6.452,2.287,0.0
28,7,6.308,2.174,0.0
28,8,5.909,2.112,0.0
28,9,6.663,2.292,0.0
28,10,6.307,2.182,3.396
28,11,6.393,2.309,7.576
28,12,6.075,2.092,10.788
28,13,6.932,2.46,12.0
28,14,7.633,2.598,10.788
28,15,8.379,2.897,7.576
28,16,8.505,3.081,3.396
28,17,9.519,3.33,0.0
28,18,9.788,3.387,0.0
28,19,10.287,3.608,0.0
28,20,9.838,3.4,0.0
28,21,9.493,3.275,0.0
28,22,8.461,2.834,0.0
28,23,8.311,3.001,0.0
29,0,6.677,2.269,0.0
29,1,5.764,2.064,0.0
29,2,6.483,2.269,0.0
29,3,5.584,1.941,0.0
29,4,5.681,2.046,0.0
29,5,6.179,2.157,0.0
29,6,5.833,2.121,0.0
29,7,5.901,2.14,0.0
29,8,6.15,2.192,0.0
29,9,5.651,2.004,0.0
29,10,6.312,2.251,3.396
29,11,6.181,2.144,7.576
29,12,6.228,2.13,10.788
29,13,7.087,2.456,12.0
29,14,7.526,2.647,10.788
29,15,7.748,2.652,7.576
29,16,8.774,3.048,3.396
29,17,9.129,3.127,0.0
29,18,9.954,3.512,0.0
29,19,9.804,3.411,0.0
29,20,9.292,3.337,0.0
29,21,9.245,3.248,0.0
29,22,8.473,2.979,0.0
29,23,8.316,2.833,0.0
30,0,6.035,2.063,0.0
30,1,5.615,1.933,0.0
30,2,5.905,2.041,0.0
30,3,5.423,1.853,0.0
30,4,6.267,2.166,0.0
30,5,6.188,2.128,0.0
30,6,5.695,2.071,0.0
30,7,5.716,1.878,0.0
30,8,6.097,2.161,0.0
30,9,6.264,2.15,0.0
30,10,6.007,2.179,3.396
30,11,6.2,2.112,7.576
30,12,6.274,2.101,10.788
30,13,6.774,2.319,12.0
30,14,7.414,2.598,10.788
30,15,8.531,2.953,7.576
30,16,9.427,3.313,3.396
30,17,9.456,3.311,0.0
30,18,9.973,3.475,0.0
30,19,9.524,3.355,0.0
30,20,9.596,3.431,0.0
30,21,9.61,3.344,0.0
30,22,8.697,3.055,0.0
30,23,8.494,2.972,0.0
